Date,Open,High,Low,Close,Volume
2003-11-28,16358.564453125,16929.212890625,16311.0107421875,16643.888671875,297935924
2003-12-01,16501.2265625,17262.08984375,16358.564453125,17119.427734375,254254710
2003-12-02,17309.64453125,17404.751953125,16406.119140625,16453.671875,240212033
2003-12-03,16406.119140625,16738.99609375,16358.564453125,16501.2265625,222273886
2003-12-04,16691.44140625,17119.427734375,16453.671875,17024.3203125,332037390
2003-12-05,16834.103515625,17166.982421875,16643.888671875,16643.888671875,193582799
2003-12-08,16453.671875,16929.212890625,16358.564453125,16501.2265625,168091761
2003-12-09,16596.333984375,16786.55078125,16311.0107421875,16453.671875,218292620
2003-12-10,16311.0107421875,17071.873046875,16168.3486328125,16786.55078125,391769631
2003-12-11,16976.765625,17309.64453125,16643.888671875,16643.888671875,505464143
2003-12-12,17214.53515625,17452.306640625,16881.658203125,17119.427734375,362946799
2003-12-15,17499.859375,17832.73828125,17357.197265625,17832.73828125,324480187
2003-12-16,17547.4140625,17594.966796875,16976.765625,17262.08984375,342233806
2003-12-17,17357.197265625,17499.859375,16834.103515625,16881.658203125,204832124
2003-12-18,16786.55078125,17024.3203125,16501.2265625,16643.888671875,456918771
2003-12-19,16881.658203125,17166.982421875,16834.103515625,16834.103515625,209385897
2003-12-22,16929.212890625,17357.197265625,16881.658203125,17309.64453125,191504003
2003-12-23,17404.751953125,17642.521484375,17166.982421875,17309.64453125,174384716
2003-12-24,17404.751953125,17594.966796875,17071.873046875,17262.08984375,174091050
2003-12-25,17262.08984375,17262.08984375,17262.08984375,17262.08984375,0
2003-12-26,17404.751953125,17452.306640625,17214.53515625,17404.751953125,163459970
2003-12-29,17071.873046875,17642.521484375,17071.873046875,17642.521484375,110421493
2003-12-30,17975.3984375,18213.169921875,17737.62890625,18118.060546875,258848648
2003-12-31,18118.060546875,18118.060546875,18118.060546875,18118.060546875,0
2004-01-01,18118.060546875,18118.060546875,18118.060546875,18118.060546875,0
2004-01-02,18213.169921875,18498.4921875,17880.291015625,18260.72265625,184395974
2004-01-05,17832.73828125,18403.384765625,17690.076171875,18308.27734375,286649694
2004-01-06,18355.83203125,18403.384765625,17737.62890625,17785.18359375,254022552
2004-01-07,17832.73828125,18118.060546875,17737.62890625,17737.62890625,181806179
2004-01-08,17737.62890625,17880.291015625,17119.427734375,17119.427734375,341239672
2004-01-09,17452.306640625,18070.5078125,17452.306640625,17547.4140625,305587021
2004-01-12,17690.076171875,18498.4921875,17499.859375,18498.4921875,470599754
2004-01-13,18546.046875,18546.046875,18118.060546875,18165.615234375,194480832
2004-01-14,18308.27734375,18546.046875,18118.060546875,18118.060546875,231564279
2004-01-15,18355.83203125,18546.046875,18070.5078125,18450.939453125,302940449
2004-01-16,18546.046875,18736.263671875,18213.169921875,18450.939453125,244289610
2004-01-19,18641.154296875,18736.263671875,18308.27734375,18641.154296875,209596711
2004-01-20,18831.37109375,19116.6953125,18688.708984375,19116.6953125,410271979
2004-01-21,19116.6953125,19116.6953125,19116.6953125,19116.6953125,0
2004-01-22,19116.6953125,19116.6953125,19116.6953125,19116.6953125,0
2004-01-23,19116.6953125,19116.6953125,19116.6953125,19116.6953125,0
2004-01-26,19116.6953125,19116.6953125,18641.154296875,18688.708984375,382961744
2004-01-27,18688.708984375,18878.923828125,18403.384765625,18546.046875,295075069
2004-01-28,18736.263671875,18974.033203125,18355.83203125,18736.263671875,258378551
2004-01-29,18926.478515625,18926.478515625,18403.384765625,18736.263671875,122260673
2004-01-30,18831.37109375,18831.37109375,18403.384765625,18498.4921875,161531635
2004-02-02,18736.263671875,18783.81640625,18355.83203125,18450.939453125,114828381
2004-02-03,18450.939453125,18688.708984375,18355.83203125,18355.83203125,244760234
2004-02-04,18403.384765625,18641.154296875,18355.83203125,18355.83203125,151134605
2004-02-05,18355.83203125,18355.83203125,17880.291015625,18022.953125,274616103
2004-02-06,17880.291015625,18450.939453125,17880.291015625,18355.83203125,240022774
2004-02-09,18546.046875,19639.7890625,18546.046875,19497.126953125,542035645
2004-02-10,19211.802734375,19592.234375,19211.802734375,19354.46484375,428509574
2004-02-11,19639.7890625,20115.328125,19497.126953125,19972.666015625,540522732
2004-02-12,20162.8828125,21256.623046875,20115.328125,20828.63671875,662149705
2004-02-13,20828.63671875,22160.1484375,20685.974609375,21779.716796875,651572039
2004-02-16,22065.041015625,22445.47265625,21541.947265625,21589.5,417823399
2004-02-17,21589.5,21922.37890625,21066.40625,21922.37890625,182623566
2004-02-18,21637.0546875,21874.82421875,21304.177734375,21304.177734375,222989179
2004-02-19,21304.177734375,22160.1484375,21113.9609375,21874.82421875,251388808
2004-02-20,21779.716796875,21779.716796875,21351.73046875,21446.83984375,344605848
2004-02-23,21209.068359375,21399.28515625,20590.8671875,20781.083984375,337388994
2004-02-24,20400.65234375,21161.515625,20305.54296875,20828.63671875,280707077
2004-02-25,20733.529296875,21113.9609375,20733.529296875,21113.9609375,154469343
2004-02-26,21113.9609375,21304.177734375,20828.63671875,20876.19140625,213978785
2004-02-27,20638.421875,20638.421875,19925.111328125,20590.8671875,595924210
2004-03-01,20590.8671875,20590.8671875,20590.8671875,20590.8671875,0
2004-03-02,20876.19140625,21446.83984375,20400.65234375,20543.314453125,694150401
2004-03-03,20733.529296875,21589.5,20543.314453125,21589.5,9121858823
2004-03-04,21446.83984375,21589.5,21304.177734375,21589.5,586696168
2004-03-05,21684.609375,21779.716796875,21304.177734375,21399.28515625,633679840
2004-03-08,21113.9609375,21589.5,21066.40625,21351.73046875,358948184
2004-03-09,21018.853515625,21161.515625,20448.205078125,20733.529296875,438909337
2004-03-10,20638.421875,20923.74609375,19972.666015625,20020.220703125,489794893
2004-03-11,20020.220703125,20400.65234375,19972.666015625,20067.7734375,531671000
2004-03-12,19972.666015625,20115.328125,18878.923828125,19592.234375,727255946
2004-03-15,19592.234375,19734.896484375,19259.357421875,19734.896484375,398678834
2004-03-16,19402.017578125,19639.7890625,19069.140625,19069.140625,385680129
2004-03-17,19306.91015625,19925.111328125,19306.91015625,19877.55859375,281746633
2004-03-18,19972.666015625,20162.8828125,19830.00390625,19972.666015625,254938354
2004-03-19,19972.666015625,20495.759765625,19925.111328125,20448.205078125,178499830
